label,Ch0_min,Ch1_min,Ch2_min,Ch3_min,Ch0_max,Ch1_max,Ch2_max,Ch3_max,Ch0_avg,Ch1_avg,Ch2_avg,Ch3_avg,Ch0_energy,Ch1_energy,Ch2_energy,Ch3_energy,Ch0_iemg,Ch1_iemg,Ch2_iemg,Ch3_iemg,Ch0_mav,Ch1_mav,Ch2_mav,Ch3_mav,Ch0_var,Ch1_var,Ch2_var,Ch3_var,Ch0_rms,Ch1_rms,Ch2_rms,Ch3_rms,Ch0_wl,Ch1_wl,Ch2_wl,Ch3_wl,Ch0_zc0,Ch1_zc0,Ch2_zc0,Ch3_zc0,Ch0_hemg0,Ch1_hemg0,Ch2_hemg0,Ch3_hemg0,Ch0_hemg1,Ch1_hemg1,Ch2_hemg1,Ch3_hemg1
UP_Grape,-0.84140625,-0.06503906250000002,-0.18222656250000002,-0.21640625000000002,0.5501953125,-0.025976562500000022,0.003320312499999978,-0.08457031250000002,-0.09819335937500004,-0.045507812500000036,-0.10561523437500003,-0.11152343750000002,21.017117500305176,0.21420097351074235,1.3967294692993169,1.276767730712891,37.7166015625,4.5507812500000036,10.568164062500003,11.152343750000002,0.377166015625,0.045507812500000036,0.10568164062500003,0.11152343750000002,0.21229411616469873,0.0021636461970782057,0.014108378477770878,0.012896643744574656,0.45844429869183867,0.04628185103371973,0.118183309705699,0.11299414722510591,0.888671875,0.009765625,-0.0244140625,0.0146484375,25.0,0.0,2.0,0.0,51.0,0.0,1.0,0.0,51.0,0.0,1.0,0.0
UP_Grape,-0.84140625,-0.21640625000000002,-0.4068359375,-0.8853515625,0.5404296875,0.14980468749999998,0.4232421875,1.2826171875,-0.11284179687500001,-0.05620117187500004,-0.10288085937500004,-0.102197265625,21.393866539001465,0.6055212020874028,2.940016746520997,10.198313713073734,37.9310546875,6.594335937500003,13.870117187500002,20.094726562499993,0.379310546875,0.06594335937500002,0.13870117187500003,0.20094726562499993,0.2160996620101158,0.0061163757786606345,0.029697138853747446,0.10301326982902761,0.46253504233735054,0.07781524285687239,0.17146477033259622,0.3193479875163414,-0.830078125,-0.068359375,0.0244140625,-0.3515625,23.0,4.0,8.0,10.0,48.0,7.0,10.0,15.0,48.0,7.0,10.0,15.0
UP_Grape,-0.8560546875,-0.4654296875,-0.5337890625,-0.8951171875,0.5404296875,0.18886718749999998,0.808984375,1.2826171875,-0.11035156250000004,-0.061376953125000036,-0.04970703125000003,-0.118603515625,22.22967529296875,1.6763029098510747,5.682975769042967,23.07127285003662,38.153906250000006,10.288085937500002,18.98203125,36.17480468749999,0.3815390625000001,0.10288085937500002,0.18982031249999998,0.36174804687499995,0.22454217467645202,0.01693235262475833,0.05740379564689865,0.23304316010138001,0.47148356591687,0.1294721170697025,0.23838992782923876,0.4803256483890551,-0.3759765625,0.078125,-0.1318359375,1.0986328125,24.0,13.0,24.0,19.0,47.0,25.0,32.0,35.0,47.0,25.0,32.0,35.0
UP_Grape,-0.8658203125,-0.4654296875,-0.8951171875,-0.8951171875,0.8529296875,0.271875,0.808984375,1.2142578125,-0.17509765624999996,-0.05312500000000003,-0.03315429687500002,-0.08583984375000003,28.427000045776367,2.2375602722167973,8.524401664733887,30.692359924316406,43.602343749999996,11.576562500000001,22.8779296875,46.21601562500001,0.43602343749999994,0.11576562500000001,0.228779296875,0.4621601562500001,0.2871414146038017,0.02260161891128078,0.0861050673205443,0.31002383761935765,0.5331697670140007,0.14958476768096401,0.29196577992521466,0.5540068584802574,0.0,0.0439453125,-1.03515625,1.533203125,20.0,21.0,31.0,25.0,41.0,33.0,40.0,39.0,41.0,33.0,40.0,39.0
UP_Grape,-0.8658203125,-0.4166015625,-0.8951171875,-0.890234375,0.8529296875,0.271875,0.64296875,1.2142578125,-0.139501953125,-0.06630859375000003,-0.10107421875000004,-0.06127929687500002,31.980734825134277,1.9165725708007815,10.287775039672855,35.01310253143312,47.087304687499994,10.641015625000001,25.651953125,50.3259765625,0.4708730468749999,0.10641015625000001,0.25651953125,0.5032597656250001,0.32303772550640686,0.01935931889697759,0.1039169195926551,0.3536677023377083,0.5655151176152082,0.13844033266359848,0.32074561633283244,0.5917187045500009,-0.1611328125,-0.2587890625,-0.517578125,-1.6455078125,16.0,21.0,32.0,37.0,43.0,23.0,32.0,41.0,43.0,23.0,32.0,41.0
UP_Grape,-0.8658203125,-0.4166015625,-0.8951171875,-0.890234375,0.808984375,0.18398437499999998,0.887109375,1.2044921875,-0.08964843750000004,-0.07646484375000004,-0.12387695312500002,-0.08657226562500003,33.2211208343506,1.4600276947021489,11.462794303894047,36.74906444549562,48.79882812500001,9.708984375000004,27.147460937499993,51.2833984375,0.48798828125000004,0.09708984375000003,0.27147460937499995,0.5128339843749999,0.33556687711465255,0.014747754491940898,0.11578580104943481,0.3712026711666224,0.5763776612113849,0.12083160574544016,0.3385674866831434,0.6062100662764981,1.0986328125,-0.166015625,0.6201171875,-0.83984375,23.0,15.0,34.0,36.0,50.0,15.0,30.0,44.0,50.0,15.0,30.0,44.0
UP_Grape,-0.8658203125,-0.323828125,-0.8462890625,-0.890234375,0.79921875,0.18398437499999998,0.887109375,1.209375,-0.10507812500000002,-0.07744140625000002,-0.1244140625,-0.104833984375,31.781984329223633,1.3432693481445317,11.317073822021488,35.178442955017104,47.203515624999994,9.54609375,26.901953125,48.78964843749999,0.4720351562499999,0.09546093750000001,0.26901953125,0.48789648437499994,0.32103014473963265,0.01356837725398517,0.11431387699011604,0.3553378076264354,0.5637551270651437,0.11589949733042554,0.33640858820817116,0.5931141791848944,-1.015625,0.009765625,1.0791015625,0.01953125,25.0,12.0,35.0,36.0,48.0,14.0,32.0,42.0,48.0,14.0,32.0,42.0
UP_Grape,-0.8658203125,-0.323828125,-0.74375,-0.890234375,0.7796875,0.14492187499999998,0.81875,1.209375,-0.08803710937500003,-0.08232421875000004,-0.135546875,-0.100634765625,30.602280616760254,1.4334392547607426,9.997615814208988,29.485697746276852,46.69082031250001,9.793750000000003,24.77890624999999,44.310742187500004,0.4669082031250001,0.09793750000000002,0.2477890624999999,0.443107421875,0.3091139456238409,0.014479184391522654,0.10098601832534332,0.29783533077047325,0.5531932810217443,0.11972632353667019,0.31619006648231357,0.5430073456803034,-0.390625,0.0341796875,0.146484375,0.341796875,22.0,14.0,36.0,38.0,48.0,16.0,27.0,44.0,48.0,16.0,27.0,44.0
UP_Grape,-0.8658203125,-0.29453125,-0.74375,-0.890234375,0.7650390625,0.14492187499999998,0.81875,1.1654296875,-0.12934570312500002,-0.08227539062500004,-0.1326171875,-0.076220703125,31.988862037658688,1.2802877426147465,8.389377593994144,26.25622272491455,47.878320312499994,9.641992187500001,22.30429687499999,41.7978515625,0.47878320312499995,0.09641992187500001,0.2230429687499999,0.417978515625,0.32311981856220895,0.012932199420350975,0.08474118781812266,0.26521437095873285,0.5655869697726309,0.11314980082239413,0.2896442230391303,0.512408262276425,0.1904296875,-0.15625,-0.4296875,-0.0830078125,18.0,11.0,33.0,34.0,43.0,13.0,22.0,45.0,43.0,13.0,22.0,45.0
UP_Grape,-0.8658203125,-0.21640625000000002,-0.7291015625,-0.890234375,0.7650390625,0.12050781249999998,0.7796875,1.1361328125,-0.10351562500000001,-0.08173828125000003,-0.134033203125,-0.099169921875,30.205358505249023,1.156070709228516,8.267249107360842,26.886096000671387,45.507421875000006,9.145312500000001,22.019726562499997,42.4904296875,0.45507421875000004,0.09145312500000001,0.22019726562499997,0.424904296875,0.30510463136615174,0.011677481911399152,0.0835075667410186,0.27157672727950893,0.549594018392204,0.10752072866329153,0.28752824395806476,0.5185180421226574,-0.107421875,0.205078125,0.3271484375,0.37109375,22.0,13.0,37.0,38.0,47.0,11.0,24.0,39.0,47.0,11.0,24.0,39.0
